START DATE,START TIME,START TIME ET,SUBJECT,LOCATION,DESCRIPTION,END DATE,END DATE ET,END TIME,END TIME ET,REMINDER OFF,REMINDER ON,REMINDER DATE,REMINDER TIME,REMINDER TIME ET,SHOWTIMEAS FREE,SHOWTIMEAS BUSY
05/01/18,08:10 PM,08:10 PM,Blue Jays at Twins,Target Field - Minneapolis,"",05/01/18,05/01/18,11:10 PM,11:10 PM,FALSE,TRUE,05/01/18,07:10 PM,07:10 PM,FREE,BUSY
05/02/18,01:10 PM,01:10 PM,Blue Jays at Twins,Target Field - Minneapolis,"",05/02/18,05/02/18,04:10 PM,04:10 PM,FALSE,TRUE,05/02/18,12:10 PM,12:10 PM,FREE,BUSY
05/04/18,07:10 PM,07:10 PM,Blue Jays at Rays,Tropicana Field - St. Petersburg,"",05/04/18,05/04/18,10:10 PM,10:10 PM,FALSE,TRUE,05/04/18,06:10 PM,06:10 PM,FREE,BUSY
05/05/18,06:10 PM,06:10 PM,Blue Jays at Rays,Tropicana Field - St. Petersburg,"",05/05/18,05/05/18,09:10 PM,09:10 PM,FALSE,TRUE,05/05/18,05:10 PM,05:10 PM,FREE,BUSY
05/06/18,01:10 PM,01:10 PM,Blue Jays at Rays,Tropicana Field - St. Petersburg,"",05/06/18,05/06/18,04:10 PM,04:10 PM,FALSE,TRUE,05/06/18,12:10 PM,12:10 PM,FREE,BUSY
05/08/18,07:07 PM,07:07 PM,Mariners at Blue Jays,Rogers Centre - Toronto,"",05/08/18,05/08/18,10:07 PM,10:07 PM,FALSE,TRUE,05/08/18,06:07 PM,06:07 PM,FREE,BUSY
05/09/18,07:07 PM,07:07 PM,Mariners at Blue Jays,Rogers Centre - Toronto,"",05/09/18,05/09/18,10:07 PM,10:07 PM,FALSE,TRUE,05/09/18,06:07 PM,06:07 PM,FREE,BUSY
05/10/18,07:07 PM,07:07 PM,Mariners at Blue Jays,Rogers Centre - Toronto,"",05/10/18,05/10/18,10:07 PM,10:07 PM,FALSE,TRUE,05/10/18,06:07 PM,06:07 PM,FREE,BUSY
05/11/18,07:07 PM,07:07 PM,Red Sox at Blue Jays,Rogers Centre - Toronto,"",05/11/18,05/11/18,10:07 PM,10:07 PM,FALSE,TRUE,05/11/18,06:07 PM,06:07 PM,FREE,BUSY
05/12/18,04:07 PM,04:07 PM,Red Sox at Blue Jays,Rogers Centre - Toronto,"",05/12/18,05/12/18,07:07 PM,07:07 PM,FALSE,TRUE,05/12/18,03:07 PM,03:07 PM,FREE,BUSY
05/13/18,01:07 PM,01:07 PM,Red Sox at Blue Jays,Rogers Centre - Toronto,"",05/13/18,05/13/18,04:07 PM,04:07 PM,FALSE,TRUE,05/13/18,12:07 PM,12:07 PM,FREE,BUSY
05/15/18,07:10 PM,07:10 PM,Blue Jays at Mets,Citi Field - Flushing,"",05/15/18,05/15/18,10:10 PM,10:10 PM,FALSE,TRUE,05/15/18,06:10 PM,06:10 PM,FREE,BUSY
05/16/18,01:10 PM,01:10 PM,Blue Jays at Mets,Citi Field - Flushing,"",05/16/18,05/16/18,04:10 PM,04:10 PM,FALSE,TRUE,05/16/18,12:10 PM,12:10 PM,FREE,BUSY
05/17/18,07:07 PM,07:07 PM,Athletics at Blue Jays,Rogers Centre - Toronto,"Local TV: MLBN",05/17/18,05/17/18,10:07 PM,10:07 PM,FALSE,TRUE,05/17/18,06:07 PM,06:07 PM,FREE,BUSY
05/18/18,07:07 PM,07:07 PM,Athletics at Blue Jays,Rogers Centre - Toronto,"",05/18/18,05/18/18,10:07 PM,10:07 PM,FALSE,TRUE,05/18/18,06:07 PM,06:07 PM,FREE,BUSY
